Name                                                                                                          SHA1                                      Bytes
------------------------------------------------------------------------------------------------------------  ----------------------------------------  -------------
BLACKROCK SHOOTER (BD 1920x1080 x264 日･中･英･独･西･伊･仏字幕切替可 10bit).mp4                                27990CC943017B997DFE1520E0F245AFF6460918  3,489,015,502
BLACKROCK SHOOTER 映像特典 「B★RSストップモーション・メイキング映像」 (BD 1920x1080i x264 10bit).mp4         B80ADA3EA3790D8C933BE76446B6F60A1B070955    594,122,296
BLACKROCK SHOOTER 映像特典 「B★RSストップモーション・試作ショート映像(30秒)」 (BD 1920x1080 x264 10bit).mp4  2C3690D261DCD759DEA4B5675274D87B90EC46C9     33,642,476
BLACKROCK SHOOTER 映像特典 「Menu」 (BD 1920x1080 x264 10bit).mp4                                             B8A60B53B3D45B1631C93B0881EA0F0A34D8D6CB     50,772,204
BLACKROCK SHOOTER 映像特典 「トレイラー 1」 (BD 1920x1080 x264 10bit).mp4                                     D06E397183D36860CDCB710BF6C5B9FB9FDE97C4     36,644,821
BLACKROCK SHOOTER 映像特典 「トレイラー 2」 (BD 1920x1080 x264 10bit).mp4                                     8A9FA2B06B47078283202A6D7E7C3ED0F399CEB5     52,481,664
BLACKROCK SHOOTER 映像特典 「トレイラー 3」 (BD 1920x1080 x264 10bit).mp4                                     DF9FDB5329A403E4648AECD619A5143D1F400A74     97,050,251
BLACKROCK SHOOTER 映像特典 「メイキング映像」 (BD 1920x1080 x264 10bit).mp4                                   CD7352E47271A8BE052D6B475C1522DA790B5D3B    213,159,836
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Total  8 Files  4,566,889,050 Bytes
