Name                                                                                                                                           SHA1                                      Bytes
---------------------------------------------------------------------------------------------------------------------------------------------  ----------------------------------------  -----------
ひだまりスケッチ×SP 前編 「7月15日 『感じるままに』／8月28日 『プカリ』」 (BD 1920x1080 x264 コメンタリー切替可 10bit).mp4                    CDF2D11522616DEF833AFD4F02BACD0C6D130058  797,879,845
ひだまりスケッチ×SP 後編 「5月9日 『ザブザブザザー！！』／5月25日 『らっしゃい！ 肉の里』」 (BD 1920x1080 x264 コメンタリー切替可 10bit).mp4  63E69B50726B6D7CE267CD251FD298E0ABE66D2C  699,541,637
ひだまりスケッチ×SP 映像特典 「Menu CHAPTER 2」 (BD 1920x1080 x264 10bit).mp4                                                                 9DE19C88BDBB98850BC1413BD676EE4ADFF1EE01  107,912,603
ひだまりスケッチ×SP 映像特典 「Menu CHAPTER」 (BD 1920x1080 x264 10bit).mp4                                                                   C049025E6088AD6FA20FBC16DC6F2AB0A8159FC3   57,129,955
ひだまりスケッチ×SP 映像特典 「Menu top 2」 (BD 1920x1080 x264 10bit).mp4                                                                     82EFFC2ECEF623D543C18E07FB815445B6C94ABC  122,884,727
ひだまりスケッチ×SP 映像特典 「Menu top」 (BD 1920x1080 x264 10bit).mp4                                                                       A16BB6034045A231FDA725D39B88E2357C800682   65,923,475
ひだまりスケッチ×SP 映像特典 「Menu 映像特典 2」 (BD 1920x1080 x264 10bit).mp4                                                                A6B663ED6AAC35A59017664957FDE5E5315D9277   62,444,485
ひだまりスケッチ×SP 映像特典 「Menu 映像特典」 (BD 1920x1080 x264 10bit).mp4                                                                  DFC584FF9F03A6C28B3D868547656CAD226222FA   32,573,808
ひだまりスケッチ×SP 映像特典 「ノンクレジットエンディング」 (BD 1920x1080 x264 10bit).mp4                                                     8C2DA749FF55C5BA1E5CBA1EFA2151C435EF8C80   53,446,004
ひだまりスケッチ×SP 映像特典 「ノンクレジットオープニング」 (BD 1920x1080 x264 10bit).mp4                                                     18C969DD9B2E62903D655EA03277E8D124F1C444   73,402,984
ひだまりスケッチ×SP 映像特典 「前編予告」 (BD 1920x1080 x264 10bit).mp4                                                                       3B60F3EB76B08BD227A86F9A745C876D5A9B54D4   15,155,389
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Total  11 Files  2,088,294,912 Bytes
